question,answer
Was sind die meistgenannten Gründe für Corporate Responsibility?,Reputation bzw. Marke; Ethische Überlegungen; Mitarbeitermotivation; Innovation und Lernen; Risikomanagement oder -minderung; Zugang zu Kapital oder gesteigerter Unternehmenswert; Ökonomische Überlegungen; Verbesserte Beziehungen zum Lieferanten; Verbesserung der Markenposition bzw. -anteile; Verbesserte Beziehung zu Behörden und Regierung; Kostenersparnisse
Was sind die wichtigsten Faktoren bzgl. des Ethikbedarfs im Geschäftsleben nach einer CEO-Umfrage von Accenture für die Sicherstellung des künftigen Erfolgs?,Bildung und Klimawandel
Was wird nach der CEO-Umfrage von Accenture zukünftig immer mehr zu einem kritischen Erfolgsfaktor für das Geschäft?,Das Thema Nachhaltigkeit
Was sind nach der CEO-Umfrage von Accenture die 3 Hauptmotivatoren für das aktive Auseinandersetzen mit dem Thema Nachhaltigkeit?,Marke; Vertrauen; Reputation
Was sind 3 elementare Gründe für das wachsende Interesse an Corporate Responsibility?,Größere Transparenz; Wachsende Stakeholder Erwartungen; Schrumpfende Ressourcen
Auf wen beziehen sich die wachsenden Stakeholder-Erwartungen?,Behörden; (LOHAS-)Kunden; Lieferanten; Investoren; Mitarbeiter
Was sind Beispiele für wachsende Stakeholder-Erwartungen?,Umgang mit Korruption (z.B. Petrobas oder Siemens); Supply Chain Verantwortung (z.B. Nike vs. Apple); Socially Responsible Investing (SRI); LOHAS-Bewegung
Was/ Wer verursacht eine größere Transparenz bzgl. Corporate Responsibility?,"NGOs; Whistleblower; Aktivisten; Medien; Neue Technologien (Google, Facebook, Twitter, Avaaz)"
Was sind Beispiele für eine größere Transparenz?,"Wasserkraftwerk im Regenwald (z.B. Sawarak oder Amazonas); Shells ""Brent Spar""; Flughafenerweiterung in Zürich; VW-Abgasskandal"
Worauf beziehen sich schrumpfende Ressourcen?,Soziale Gerechtigkeit; Nahrung; Artenvielfalt; Klimaschutz; Trinkwasser; Visionen/ Strategien; Gute Ideen; Regenwälder; Luftqualität; Rohstoffe; Energie
Was sind Beispiele für schrumpfende Ressourcen?,Abbau seltener Erden (z.B. Glencore); Gentechnisch verändertes Saatgut (z.B. Monsanto); Vermarktung von Trinkwasser (z.B. Nestlé)
Was ist der Grund für das Schrumpfen der Ressourcen?,"Das Zurückgreifen auf Ressourcen durch jedes Unternehmen zum Herstellen von Produkten und zum Erbringen von Dienstleistungen, aber Ressourcen sind nicht unbegrenzt vorhanden; oftmals kommt es zu einer Entwertung oder gar irreversiblen Zerstörung von Boden, Luft, Wasser, Regenwäldern und der Artenvielfalt"
Zwischen welchen Ressourcenarten wird differenziert?,"Materielle Ressourcen (Rohstoffe, wie Erdöl, Metalle, seltene Erden); soziale und mentale Ressourcen (Arbeitskräfte, Kreativität, Ideenvielfalt, Kunden, Lieferanten, Wohlwollen der Anwohner und Nachbarn)"
Was ist die Hauptaussage bzgl. schrumpfender Ressourcen für Unternehmen?,"Ohne soziale Gerechtigkeit, Nachhaltigkeit und daraus abgeleitete Strategien ist für Unternehmen kein langfristiges Überleben möglich; Unternehmen sollen für einen Ausgleich durch nachhaltige Unternehmensverantwortung sorgen."
Was ist ein Bestandteil der nachhaltigen Unternehmensverantwortung?,Der Cradle-to-Cradle-Ansatz (Michael Braungart und William McDonough)
Was ist der Cradle-to-Cradle-Ansatz?,"Eine Kreislaufwirtschaft, deren Produktzyklen nicht wie üblich von der Wiege zum Grab (Cradle-to-grave), also bis zum unverwertbaren Abfall, sondern von der Wiege bis bis zur Wiege reichen"
Was ist der Soll-Zustand des Cradle-to-Cradle-Ansatzes?,"Verwendung des Abfalls in der ""Circular Economy"" zu 100% als Rohstoff für neue Produkte"
Was sind Maßnahmen zur Vermeidung struktureller Verschwendung im Kontext des Cradle-to-Cradle-Ansatzes?,"Wiederherstellen (Erholung der Ökosysteme; Einsatz erneuerbarer Energien); Teilen (Fahrzeuge; Räume; Geräte); Optimieren (Effizienzsteigerung von Produkten; Müllvermeidung in der Wertschöpfungskette); Recyceln (Wiederaufbereitung; Wiederverwertung); Virtualisieren (Digitale Waren und Dienstleistungen, z.B. E-Books und Online-Handel); Umsteigen (Einsatz neuer Technologien, z.B. 3D-Drucker; kombinierter Verkehr)"
Was bedeutet eine größere Transparenz in Unternehmen in der öffentlichen Wahrnehmung?,kein Abschotten der Unternehmen von der Öffentlichkeit und Gewinnmaximierung auf Kosten von Natur und Gesellschaft möglich
Was sind die Haupttreiber für eine größere Transparenz der unternehmerischen Aktivitäten?,neue technologische Entwicklungen; Veröffentlichung geheimer Materialien (zugespielt von Insidern) von Wikileaks und NGOs wie Greenpeace
Inwiefern trägt die Online-Plattform Avaaz zu einer größeren Transparenz bei?,"Möglichkeit der Unterschriftensammlung für jedes Mitglied (aktuell ca. 40 Mio. Mitglieder) in Form von Klicks gegen echte oder vermeintliche Mißstände in Politik und Wirtschaft sowie Möglichkeit des Vorlegens dieser Unterschriften den zuständigen Politikern/ Wirtschaftsführern, um sie zu einem Lösungsbeitrag zu bewegen"
Was sind die Folgen von solchen Kampagnen auf der Online-Plattform Avaaz?,Korrupte Politiker werden zum Rücktritt gezwungen.; Der Ausverkauf natürlicher Ressourcen wird gestoppt.; Die Vermarktung riskanter Produkte wird behindert.
Was ist unter Share- und Stakeholdern zu verstehen?,"Gruppierungen, die entweder in die Aktivitäten eines Unternehmens direkt involviert oder indirekt von deren Handlungen betroffen sind"
Woraus leiten sich die Ansprüche von Share- und Stakeholdern ab?,Aus ihren Investitionen in das Unternehmen z.B.: Shareholder -> Kapital; Mitarbeiter -> Arbeitskraft; Lieferant -> Produkte; Anwohner -> Wohlwollen gegenüber der Produktionsstätte
Was erwarten Share- und Stakeholder als Anspruch aus ihren Investitionen in das Unternehmen?,"Einen Return on Investment (ROI), z.B.: Shareholder -> Dividende oder Wertsteigerung seiner Aktien; Mitarbeiter -> angemessener Lohn und ergonomischer Arbeitsplatz; Lieferant -> langfristige Geschäftsbeziehung; Anwohner -> wenige Immissionen oder eine gute Infrastruktur seitens des Unternehmens"
Was ist das Fazit aus den wachsenden Ansprüchen der Share- und Stakeholder?,"Die Unternehmen sind für langfristigen Erfolg auf eine vertrauensvolle Beziehung zu ihren Stakeholder angewiesen. Ein Vertrauensverlust führt ggf. dazu, dass Unternehmen in Mißkredit geraten und geht u.U. mit einem Reputationsverlust einher."
Welche Kategorien bzgl. Stakeholdereinflüsse auf das Unternehmen gibt es?,Markt; Gesellschaft; Staat
"Nennen Sie Stakeholdereinflüsse auf das Unternehmen, die sich auf den Markt beziehen!",Aktionäre; Mitarbeiter; Kunden; Lieferanten; Hersteller von Ersatzprodukten
"Nennen Sie Stakeholdereinflüsse auf das Unternehmen, die sich auf die Gesellschaft beziehen!",Medien; Bürgerinitiativen; Versicherungen; Direkt Geschädigte; Interessensverbände; Politische Parteien; Gegenexperten
"Nennen Sie Stakeholdereinflüsse auf das Unternehmen, die sich auf den Staat beziehen!",Experten; Ministerien; Aufsichtsbehörden; Polizei; Feuerwehren; Fachbehörden
Was ist die Geschäftstätigkeit des Unternehmens Foxconn?,Montage von iPhones für Apple mit rund 300.000 Mitarbeitern als ein Hauptlieferant von Apple
"Was hat die Organisation ""Students & Scholars Against Corporate Misbehaviour (SACOM)"" in Bezug auf Foxconn angeprangert?",Minimale Bezahlung; Extreme Arbeitszeiten; Giftige Materialien; Schlechte Unterbringung; Hohe Selbstmordraten; Kinderarbeit
Wie verhalten sich die Gewinnmargen in Bezug auf iPhones bei Apple und die Profitabilität von Foxconn bei der Fertigung der Geräte?,Gewinnmarge von Apple: 40-50%; Profitabilität von Foxconn bei der Fertigung: ca. 5%; -> Cost-Benefit-Kalkül für Apples iPhone
Wer kommt als Hauptverantwortlicher für die sozialen Missstände bei den Foxconn-Mitarbeitern in Frage?,Auftraggeber (Brand Owner); mit knappen Margen bedachter Lieferant
Welche unbequemen Fragen ergeben sich aus den Ansprüchen der involvierten Mitarbeiter?,Verantwortlichkeit des Unternehmens Apple für die Arbeitsbedingungen seiner Lieferanten oder nicht?; Zahlung eines unerheblichen Mehrpreises zur Beseitigung der Missstände von Apple oder nicht?; Beitragen zu diesem Zustand durch den Konsumenten selbst mit dem Kauf eines iPhones oder nicht?
Wie werden die Fragen aus den Ansprüchen der involvierten Mitarbeiter (Foxconn) von Experten beantwortet?,Verantwortung des Auftraggebers für die sozialen und ökologischen Missstände innerhalb der gesamten Lieferkette; Verweisen auf Beispiele wie Firma Nike
Warum wird als positives Beispiel auf das Unternehmen Nike in Bezug auf Lieferantenansprüche verwiesen?,Neue Definition ihrer Verantwortung als Brand Owner auf Druck ihrer Kunden und vieler NGOs; Nike = inzwischen Vorbild für die Suche des Implementierens bestmöglicher sozialer und ökologischer Standards bei der Produktion ihrer Kleidung und Sportartikel mit großem Aufwand
Was ist ein Beispiel für Lieferantenansprüche?,Foxconn
Was bedeuten Konsumentenansprüche?,Das Konsumentenverhalten (z.B. Boykottieren eines Produzenten) führt ggf. zu einer Haltungsänderung einer Firma. Diese Entwicklung wird von Soziologen in dem Trend der LOHAS (Lifecycle of Health and Sustainability) betrachtet.
Was hat in den vergangenen Jahren bzgl. der Konsumentenansprüche zugenommen?,"Zunahme der Konsumenten vor allem in den entwickelten Ländern, die vorwiegend Produkte von solchen Unternehmen kaufen, die ihren Wertvorstellungen entsprechen und Meidung solcher Anbieter, die ihre Ansprüche nicht erfüllen"
Was sind die Wertvorstellungen der LOHAS-Bewegung?,Umweltverträglichkeit; Sozialverträglichkeit; Gesundheitsverträglichkeit
Was sind die ethischen Treiber durch den LOHAS-Markt?,"ca. ein 226,8 Mrd. € Markt für Produkte und Dienstleistungen, die Gesundheit, natürliche Umwelt, soziale Gerechtigkeit und nachhaltiges Leben fördern; Konsumenten mit Tendenz zu diesem Markt gelten als ""Cultural Creatives"" und sind in den USA allein 30% der Erwachsenen, was 63 Millionen mit hoher Kaufkraft entspricht."
Was sind Reaktionen der LOHAS-Bewegung?,"Belohnung von Unternehmen, die die LOHAS-Werte vertreten durch Produkttreue, Empfehlungen etc.; Bestrafung von Organisationen, die die LOHAS-Werte nicht vertreten, durch Produktboykott, negative Berichte etc.; Achten der Konsumenten/ Mitarbeiter/ sonstigen Stakeholdern auf eine Übereinstimmung der Werte der Produzenten mit den eigenen Werten"
Was ist ein Beispiel für Konsumentenansprüche?,Fairphone
Was ist Fairphone?,"ein niederländisches Smartphone mit einem Absatz von 70k Stück von der zweiten Serie, obwohl von der ersten Serie erst 35k Stk abgesetzt wurden; Produkt einer nachhaltigen verantwortungsvollen Produktion; typisches Angebot auf die Nachfrage des LOHAS-Marktes"
Was ist das Besondere an Fairphone?,Die Hersteller setzen alles auf die Optimierung der sozialen Bedingungen bei den Lieferanten und auf die Gewinnung der Rohstoffe auf ökologisch höchstmöglichem Niveau.
Was sind 3 Beispiele für Ethikbedarf im Geschäftsleben?,Lieferantenansprüche; Konsumentenansprüche; Ansprüche von Ratingagenturen und Ökolabels
Auf Basis welcher Indikatoren beurteilen Ratingagenturen Firmen?,Beurteilung von Firmen bzgl. ihrer ökonomischen Stärke und ihrer Sozial- und Ökobilanz
"Nennen Sie exemplarische Ratingagenturen, die die Firmen innerhalb einer Branche vergleichen und bewerten!",Oekom; Robeco-SAM
In welchem Index werden die Branchenbesten im Kontext des Ratings gelistet?,Dow Jones Sustainability Index
Warum haben vermehrt größere Publikumsgesellschaften Interesse an der Aufnahme in den Dow Jones Sustainability Index?,"Immer mehr private und institutionelle Anleger orientieren sich an diesem Index, um sicherzugehen, dass ihr Kapital in nachhaltige Firmen investiert wird"
Welche Dokumentationen nehmen Unternehmen zur Erfüllung der Vorgaben der UN Global Reporting Initiative (GRI) vor?,Dokumentation der Bemühungen um eine positive Sozial- und Ökobilanz in den Jahresberichten
Was sind Öko- oder Soziallabels?,"eine Methode, um Produkte den LOHAS-Konsumenten schmackhaft zu machen; immer wieder Streit über den Sinn und Unsinn dieser Labels"
Was wird vielen Herstellern in Bezug auf Öko- oder Soziallabels vorgeworfen?,Das Betreiben von Greenwashing
Was ist unter Greenwashing zu verstehen?,Das Geben eines grünen Anstrichs ohne das Versprochene wirklich einzuhalten
Was ist die Selbstaufgabe der Internetplattform https://sinsofgreenwashing.org?,Die Anprangerung der typischen Sünden des Greenwashings von vielen Herstellern
Was sollten die Verbraucher in Bezug auf das Greenwashing beachten?,"Notwendigkeit des genauen Hinsehens und zusätzlich des kritischen Hinterfragens des Gesehenen; nachhaltiger Lebensstil wie eine Leiter -> Wasser, Energie, Recycling und Ressourcenschonung = die Sprossen, deren Erklimmung nacheinander zum Zurücklegen des weiten Wegs nach oben erforderlich ist"
Welche Sünden umfasst das Greenwashing?,Sünde der versteckten Kompromisse; Sünde des fehlenden Nachweises; Sünde der Unschärfe; Sünde der Irrelevanz; Sünde des geringeren Übels; Sünde der Lüge; Sünde der falschen Label
Was ist unter der Sünde der versteckten Kompromisse zu verstehen?,"Das Bewerben ""grüner"" Produkte oft mit Attributen, die ein besonders umweltverträgliches Merkmal herausstellen, wobei Eigenschaften allerdings schnell in Vergessenheit geraten, die u.U. weniger zu einem nachhaltigen Lebensstil beitragen"
Was ist ein Beispiel für die Sünde der versteckten Kompromisse?,"Papier aus nachhaltiger Forstwirtschaft -> für das Produkt sprechen Aspekte aus der Rohstoffgewinnung, aber keine Berücksichtigung folgender Aspekte: Energieaufwand während der Herstellung; Wasserverbrauch während der Herstellung; Ausstoß von Treibgasen während der Herstellung"
Was ist unter der Sünde des fehlenden Nachweises im Kontext des Greenwashings zu verstehen?,"Aussagen auf der Produktverpackung, wie ""Nachwachsende Rohstoffe, Vollständiges Recycling"" klingen zwar sehr positiv für LOHAS-Verfechter, aber wer garantiert die Richtigkeit dieser Statements und wer hat sie überprüft?; Es gehört viel Vertrauen dazu, wenn kein unabhängiger Dritter die Werbebotschaft bestätigen kann."
Was ist unter der Sünde der Unschärfe im Kontext des Greenwashings zu verstehen?,Viele mißverständliche Aussagen sind auf den ersten Blick oft gar nicht erkennbar und führen Verbraucher ggf. leicht in die Irre
Was ist ein Beispiel für die Sünde der Unschärfe im Kontext des Greenwashings?,"Naturbelassene Inhaltsstoffe, die zunächst einladend klingen, bei denen spontan Auszüge aus aus zarten Pflanzen und pflegenden Ölen erwartet wird, aber sind Stoffe, wie Arsen oder Formaldehyd nicht auch naturbelassen? -> Bezeichnung naturbelassen ist nicht gleichbedeutend mit ""grün"" oder ""unbedenklich"", sondern bedeutet ggf. auch schädlich oder giftig"
Was ist unter der Sünde des geringeren Übels im Kontext des Greenwashings zu verstehen?,Der Verbraucher wird durch Claims dieser Sorte von den schwerwiegenden Auswirkungen eines Produkts abgelenkt bzw. diese werden überspielt.
Was ist ein Beispiel für die Sünde des geringeren Übels im Kontext des Greenwashings?,"Bio-Zigaretten (schaden der Gesundheit dennoch); ""benzinsparende"" Sportwagen (deren Verbrauch liegt noch weit über dem Durchschnitt)"
Was ist unter der Sünde der Lüge zu verstehen?,"wissentlich falsche Aussagen, die die Verbraucher gezielt in die Irre führen; Werben mit den Worten ""registered"" oder ""certified"" in Verbindung mit einer Label-Bezeichnung, ohne dass die Produkte dies tatsächlich tragen"
Was wird bei der Sünde der Lüge im Kontext des Greenwashings riskiert?,Ein Strafverfahren sowie der Vertrauensverlust seitens der Kunden
Was ist unter der Sünde der Irrelevanz im Kontext des Greenwashings zu verstehen?,"Aussagen, wie FCKW-frei sind zwar grundlegend richtig und aufrichtig, jedoch sind dies gesetzlich vorgeschrieben; beim Produktkauf absolut irrelevante Aussagen und daher kein Bestandteil eines besonders umweltfreundlichen Produkts, da dies kein USP ist"
Was wird unter der Sünde der falschen Label verstanden?,"dramatische Zunahme der Nutzung von Fake-Labels neben echten Zertifizierungen, d.h. Möglichkeit des Downloads einer ""Zertifizierung in Form eines fantasievollen, grünen Zeichens"" für jedermann zum Preis weniger € in Bildportalen"
Was sind mögliche Maßnahmen des sozialen Engagements in der internen Logistik?,"Verringerung negativer Folgen durch Transporte (Emissionen, Staus, Straßen zum Holzfällen); gesunde Arbeitsorganisation, sichere Anlagen, Ergonomie am Arbeitsplatz, Persönliche Schutzausrichtung"
Was sind mögliche Maßnahmen des sozialen Engagements in innerbetrieblichen Abläufen?,"Vermeidung von Emissionen und Müll; Erhaltung der Artenvielfalt und der Umwelt; Verringerung des Energie- und Wasserverbrauchs; Verbesserung der Arbeitssicherheit und industrieller Beziehungen; Vermeidung gefährlicher Materialien; gesunde Arbeitsorganisation, sichere Anlagen, Ergonomie am Arbeitsplatz, Persönliche Schutzausrichtung"
Was sind mögliche Maßnahmen des sozialen Engagements in der externen Logistik?,"umweltfreundliche Gestaltung von Verpackungen und deren Beseitigung; Verringerung negativer Folgen durch Transporte; gesunde Arbeitsorganisation, sichere Anlagen, Ergonomie am Arbeitsplatz, Persönliche Schutzausrichtung"
Was sind mögliche Maßnahmen des sozialen Engagements im Marketing und Vertrieb?,"Information der Kunden über alle gesundheitsrelevanten Aspekte des Produkts; Marketing und Werbung (wahrheitsgetreue Werbung, verantwortliche Werbung bei Kindern); Preispolitik (keine Preisdiskriminierung bei verschiedenen Kunden, keine Preisabsprachen, Vergünstigungen für Arme); umfassende Konsumenteninformation; Respektieren der Privatsphäre der Kunden"
Was sind mögliche Maßnahmen des sozialen Engagements im Kundendienst?,"Betreuung von Kunden im Zusammenhang mit gesundheitsrelevanten Aspekten des Produkts nach dem Verkauf; fachgerechte Entsorgung gebrauchter Produkte und Betriebsmittel (Motorenöl, Tonerkartuschen); Respektieren der Privatsphäre der Kunden"
Was sind mögliche Maßnahmen des sozialen Engagements in der Firmeninfrastruktur?,"Gesundes Raumklima (Baumaterialien, Heizung/ Kühlung, Lüftung, Akustik); Transparenz; Gute Corporate Governance; Saubere Finanzberichtserstattung; Lobbyismus"
Was sind mögliche Maßnahmen des sozialen Engagements im Personalmanagement?,"Suchtprävention, Case Management, Versicherungsleistungen, Weiterbildungen zum Gesundheitsschutz; Vergütungspolitik; Aus- und Weiterbildungen; Gesundheitsfürsorge und andere Sozialleistungen; keine Diskriminierung; sichere Arbeitsbedingungen"
Was sind mögliche Maßnahmen des sozialen Engagements in der Technologieentwicklung?,Gesundheitsfördernde Produkte; Konsumentensicherheit; Gesundheitsschonende Prozesse; Ethische Forschungspraktiken (keine Tierversuche oder Genveränderungen); Recycling; Beziehungen zu Universitäten; Produktsicherheit; sparsamer Ressourceneinsatz
Was sind mögliche Maßnahmen des sozialen Engagements in der Beschaffung/ im Einkauf?,Vermeidung gesundheitsbelastender Materialien; Arbeitsbedingungen/ Gesundheitsschutz bei (Sub-)Lieferanten; Meiden bestimmter Ressourcen beim Einkauf (z.B. Pelze); Schonen natürlicher Ressourcen; Faire Praktiken im Einkauf und in der Lieferkette
"Grundsätzliches Verständnis des Begriffes ""Management"" – Definition","Definition: Management beschreibt die Führung eines Unternehmens im Bezug zu sozialem Kapital und anderen materiellen Ressourcen, um Ziele zu erreichen."
"Grundsätzliches Verständnis des Begriffes ""Management"" – Funktionen","Funktionen: Planung, Organisation, Führung und Kontrolle. 
Fokus: Plannung"
"Grundsätzliches Verständnis des Begriffes ""Management"" – Fokus",Fokus: Planung
Wettbewerbsvorteil – wann entsteht er?,"Ein Unternehmen verfügt über ein Wettbewerbsvorteil gegenüber seinen Konkurrenten, wenn sie es schaffen, sowohl für den Kunden als auch durch den Kunden einen Mehrwert zu generieren und diesen Langfristig generieren können."
Wettbewerbsvorteil – welche Kriterien müssen erfüllt werden?,"Kriterien: Relevant (Produkt muss Begierden bei dem Anwender erwecken), Wahrgenommen (Unterscheidbarkeit des Angebots wird vom Kunden angenommen), Langfristig (Angebot muss langfristig gegeben sein)"
Make or Buy Entscheidung – Definition,"Entscheidung, ob ein Produkt intern hergestellt werden soll oder von einem externen Zulieferer bezogen werden soll."
Make or Buy Entscheidung – ausschlaggebende Faktoren,"Faktoren: in-House-Experience, Lager-/Produktionskapazität, Gesamtkosten, Qualitätskontrolle, Bedarf an Technologien, Relevanz für das Unternehmen"
Kerninhalte der rational entscheidungsorientierten Perspektive,"Kerninhalte: Weit verbreitete, präskriptive Perspektive (Entscheidungstheorie). Strategisches Management als Planungsprozess, der aus einer Ansammlung von Entscheidungen (Maßnahmenplan) besteht. Die Perspektive ist in zwei Phasen unterteilt, die Planung bzw. Formulierung und die Umsetzung bzw. Implementierung. Die klassischen Ansätze sind Ansoffs Ansatz und LCAG Schema der Harvard Business School."
Problematiken der rational entscheidungsorientierte Perspektive,"Ansoffs Ansatz beschreibt einen technokratischen Ansatz. Auch werden die verschiedenen Verhaltensdimensionen nicht berücksichtigt. Es gibt zusätzlich ein Konzept für die Implementierung. Ein letzter Kritikpunkt ist, dass die Strategieplanung nicht immer rational und bewusst durchgeführt werden kann. 
Bei dem LCAG-Schema verhindert die explizite Strategie die erforderliche Flexibilität. Auch wird die Identifikation von Stärken und Schwächen nicht objektiv durchgeführt. Allgemein ist hinzuzufügen, dass die Trennung von Planung und Durchführung fehleranfällig ist. Die ambivalente Interpretation von Struktur führt zu einem Gegensatze innerhalb des Schemas. So muss entschieden werden ob die Struktur der Strategie folgt oder die Strategie der Struktur folgt. Auch muss beachtet werden, dass mit dem LCAG-Schema weiche Faktoren nicht berücksichtigt werden."
Kerninhalte der Ressourcenorientierten Perspektive,"Die Ressourcenorientierte Perspektive beschreibt eine häufige Managmenttheorie. Die Grundidee, auf die die Perspektive beruht, ist Folgende: ""Ein Wettbewerbsvorteil ist ein Ergebnis der Ressourcen und der Verwendung dieser."""
Kritik an der Ressourcenorientierten Perspektive,"Es liegt eine mangelnde Definition, was eine Ressource ist, vor. Auch ist die Relevanz zum Absatzmarkt nicht vorahnden.  Bei gewissen Typen von Ressourcen liegt eine unklare Analyseeinheit für Ressourcen vor. Auch handelt es sich lediglich um eine statische Analyse."
"Kernidee der ""Upper Echelons""-Theorie","Für die ""Upper Echelons""-Theorie gilt das eine Organisation die Top-Manager widerspiegelt. So wird innerhalb der Theorie die Beeinflussung der Top-Managements untersucht. Das Ergebnis ist eine organisatorische Reflektion der Werte und Grundlage eines Unternehmens. Die Theorie steht im Gegensatz zu der Annahme: ""Mensch als Akteur ist außen vor"". Durch die Theorie werden somit verschiedene menschliche Aspekte, wie das Zielkonflikt, variierende Anspruchsniveau und irrationales Handeln mit einbezogen"
Kernidee der begrenzten Rationalität,"Die Kernidee ist die Anerkennung der begrenzten Informationsverarbeitungskapazität des Menschen. So wird berücksichtigt, dass Menschen faul sind und dadurch nur begrenzte Informationen aufnehmen, nur einen begrenzten Rahmen an Alternativen erarbeiten und befriedigende, brauchbare Lösungen ansteuern. Die individuelle Entscheidungsverhalten wird beeinflusst durch unklare Problemdefinition, Reduzierung von Unsicherheiten und Perzeption Abwehr. Die begrenzte Rationalität steht im Gegensatz zu der Annahme, dass der Mensch vollständig informiert ist und die bestmögliche Entscheidung trifft."
PESTEL erklären können,"PESTEL ist eine Möglichkeit die Makroumgebung eines Unternehmens analysieren zu können. Dabei wird eine Liste an Einflüssen überprüft, welche über den Erfolg oder Misserfolg bestimmter Strategien entscheiden können. 
Political – Politische Gegebenheiten (Bundes-, Landes-, Kommunalgestzgebung, politische Überzeugung der Regierung, …) 
Economic – Wirtschaftliche Gegebenheiten (Wachstumsrate, Einkommensniveau, …) 
Social – Sozial-Kulturelle Gegebenheiten (Werte und Einstellung der Gesellschaft, Lebensstille und -milleus, …) 
 Technic – Technische Gegebenheiten (Wissenschaftliche Entdeckungen, Technologische Entwicklung  in der Branche) 
Ecological – Ökologische Gegebenheiten (Nachhaltigkeitsproblem, Höhte und Art der verbrauchten Energie, Müll, Abfall und dessen Entsorgungen) 
Legal – Rechtliche Gegebenheiten (Wettbewerbsrecht und Regierungspolitik, Arbeits- und Arbeitssicherheitsrecht, …)"
Porter’s 5 Forces – Dimensionen,"Dimensionen: Verhandlungsmacht der Lieferanten, Bedrohungen durch neue Kunden, Verhandlungsmacht der Abnehmer, Bedrohung durch Substitutionsprodukte/ -dienstleistungen."
Porter’s 5 Forces – Ablauf,"Ablauf: Zu Beginn werden die spezifischen Einflussfaktoren identifiziert, anschließend werden die Stärken jeder Marktmacht evaluiert. Der nächste Schritt ist es die kollektive Stärke der fünf Marktmächte zu bestimmen. Zum Abschluss wird eine strategische Entscheidung gefällt."
Porter’s 5 Forces – Ziele,"Ziele: Porter’s 5 Forces verfolgt verschiedene Ziele: Unternehmen vor Wettbewerbern schützen, Änderung der „Spielregel“ durch Beeinflussung der Wettbewerbskräfte und durch die Prognose der Wettbewerbsverschiebungen frühzeitg reagieren zu können."
GE-McKinsey-Matrix – Grundidee,"Die Grundidee der Matrix ist es als Entscheidungsgrundlage für Marktstrategien zu dienen. Das Ziel ist es, eine präzisere Entscheidung treffen zu können als mit der BCG-Matrix. Das wird durch eine quantitative und qualitative Analyse unterstützt."
GE-McKinsey-Matrix – mögliche Entscheidungen,"Die verschiedenen Entscheidungen sind Folgende: Expanieren (viele Mittel in die Strategie investieren), Auswählen (2. Wahl hinter Expanieren, da Zukunft teilweise ungewiss ist) und Abschöpfen (nur Geld investieren, wenn die erwarteten Mehreinnahmen diese decken)"
Konzeptionelle Ansätze der Strategy Canvas kennen,"Der Ansatz beschreibt einen Liniendiagramm, um Wettbewerbspositionen innerhalb der Branche zu erkennen"
Konstrukt Kundenzufriedenheit und -loyalität – Definition,"Die Definition von Kundenzufriedenheit besagt, dass die Kundenzufriedenheit ein psychologischer Prozess ist. So wird die Erwartung mit der Realität im Bezug auf ein Produkt oder Dienstleistung verglichen. "
Customer-Lifetime-Value – Grundidee,"Die Grundidee vom CLV ist es eine Kennzahl zu generieren, die einen ökonomischen Wert einer Kundenbeziehung widerspiegelt. So wird es ermöglicht Marketingmaßnahmen zielgerichtet und effizient durchzuführen. Das Ziel ist es, eine langfristige Bindung zum Kunden zu erzeugen. Die Vorteile vom CLV sind zum einen, die Möglichkeit einzelne Kunden auf monetärer Basis bewerten zu können, zum anderen, dass CLV-Modelle Veränderungen in der Kundenbasis überwachen können und dass die Modelle dynamisch und zukunftsorientiert sind. Die Nachteile vom CLV sind die hohen Anforderungen im Bezug zu Datenvolumen und Qualität und der hohe Bedarf an Methodenwissen"
Customer-Lifetime-Value – Vor- und Nachteile,"Die Vorteile vom CLV sind zum einen, die Möglichkeit einzelne Kunden auf monetärer Basis bewerten zu können, zum anderen, dass CLV-Modelle Veränderungen in der Kundenbasis überwachen können und dass die Modelle dynamisch und zukunftsorientiert sind. Die Nachteile vom CLV sind die hohen Anforderungen im Bezug zu Datenvolumen und Qualität und der hohe Bedarf an Methodenwissen"
Analyse des internen betrieblichen Umfeldes – Leitfaden,Die Leitfragen sind Folgende: Ressourcenstärke und -schwächen? Externe Chancen und Bedrohungen? Preis und Kosten wettbewerbsfähig? Eigene Unternehmen wettbewerbsfähiger als die anderen Wettbewerber? Wie gut ist die aktuelle Strategie?
Analyse des internen betrieblichen Umfeldes – Ebenen und Instrumente,"Die Ebenen sind Folgende: Kompetenz (Stärken/ Schwächen-Profil, SWOT-Analyse), Wertschöpfung (Wertschöpfungskettenanalyse), Ressourcen (VIRO-Schema, Kompetenz-Markt-Matrix), Prozesse (Prozessanalyse, Benchmarking) und Projekt/Analyse (ABC-Analyse)"
Definition der Wertschöpfungskette,"Die Wertschöpfungskette stellt die Stufen der Produktion als eine geordnete Reihung von Tätigkeiten dar. Diese Tätigkeiten schaffen Werte, verbrauchen Ressourcen und sind in Prozessen miteinander verbunden. Die Kette ist in unterstützende Aktivitäten (Unternehmensinfrastruktur, Personalwirtschaft und technologischer Entwicklungen) und primäre Aktivitäten (Eingangslogistik, Operationen, Ausgangslogistik, Marketing & Vertrieb und Kundendienst)aufgeteilt. Die Aktivitäten können in weitere Aspekte aufgeteilt werden"
